Okay,okay,0.34,0.49
falling,falling,308.58,309.05
um,um,309.38,309.76
with,with,310.06,310.3
magic,magic,310.36,310.99
And,and,311.33,311.89
uh,uh,311.9,312.31
again,again,312.33,312.57
he,he,312.59,312.67999999999995
questions,questions,312.68,313.11
him,him,313.11,313.32
like,like,313.35,313.62
that’s,that's,314.059999,314.409999
like,like,314.97,315.14000000000004
asking,asking,315.16,315.46000000000004
him,him,315.46,315.63
where,where,315.63,315.82
he,he,315.82,316.01
learned,learned,316.01,316.27
this,this,316.27,316.40999999999997
stuff,stuff,316.42,316.74
um,um,316.77,317.21
how,how,318.0,318.22
he,he,318.219999,318.379999
came,came,318.38,318.65999999999997
to,to,318.88,319.04
have,have,319.04,319.43
uh,uh,320.2,320.21
supernatural,supernatural,320.21,320.63
powers,powers,320.63,320.99
And,and,322.68,322.82
then,then,322.82,322.90999999999997
he,he,322.91,323.0
sends,sends,323.01,323.2
him,him,323.199999,323.329999
off,off,323.33,323.53
on,on,323.57,323.78
errands,errands,323.789999,324.249999
he,he,324.27,324.43
tells,tells,324.45,324.71
him,him,324.71,324.81
to,to,324.879999,324.929999
deliver,deliver,324.93,325.34000000000003
these,these,325.9,326.06
two,two,326.09,326.25
things,things,326.25,326.45
of,of,326.45,326.55
medicines,medicines,326.56,327.04
to,to,327.04,327.15000000000003
these,these,327.15,327.37
two,two,327.4,327.71
different,different,327.71,328.01
people,people,328.01,328.46999999999997
Um,um,328.49,328.89
so,so,329.54,329.92
Merlin,merlin,329.99,330.28000000000003
does,does,330.28,330.47999999999996
that,that,330.48,330.73
and,and,330.73,330.76
the,the,330.77,330.89
first,first,330.89,331.2
guy,guy,331.2,331.44
who’s,,,
like,like,331.78,331.98999999999995
pretty,pretty,332.0,332.28
blind,blind,332.34,332.84
just,just,333.16,333.40000000000003
chugs,<unk>,333.4,333.57
it,,,
all,all,333.78,333.91999999999996
at,at,333.92,334.04
once,once,334.04,334.36
even,even,334.41,334.57000000000005
though,though,334.639999,334.869999
he,he,334.889999,334.989999
wasn’t,wasn't,334.99,335.36
supposed,supposed,335.36,335.7
to,to,335.75,336.01
Um,um,336.52,337.03
then,then,338.41999999999996,338.46999999999997
his,his,338.639999,338.78999899999997
on,on,338.809999,339.039999
his,,,
way,way,339.13,339.26
to,to,339.259999,339.379999
deliver,deliver,339.38,339.71
the,the,339.71,339.78999999999996
second,second,339.79,340.1
one,one,340.1,340.32000000000005
he,he,341.02,341.46
sees,sees,341.60999999999996,341.82
this,this,342.35999999999996,342.60999999999996
uh,uh,343.25,343.59
blonde,blonde,343.62,343.95
guy,guy,343.95,344.28
kind,kind,344.29,344.47
of,of,344.47,344.71000000000004
in,in,345.13,345.33
a,a,345.33,345.44
suit,suit,345.66,346.06
um,um,346.49,347.1
and,and,347.93,348.18
this,this,348.22,348.44000000000005
other,other,348.46,348.83
like,like,348.83,349.13
smaller,smaller,349.24,349.81
I,i,349.82,349.92
mean,mean,349.92,350.14000000000004
I,i,350.139999,350.199999
guess,guess,350.2,350.33
we’re,we're,350.57,350.59
supposed,supposed,350.59,350.77
to,to,350.77,350.78999999999996
assume,,,
he’s,,,
like,,,
some,,,
kind,kind,351.51,351.62
of,of,351.62,351.74
peasant,peasant,351.74,352.12
kid,kid,352.12,352.43
Um,um,352.87,353.26
the,the,353.27,353.40999999999997
blond,blond,353.41,353.6
guy’s,guy's,353.61,353.76
like,like,353.759999,353.78999899999997
surrounded,,,
by,by,354.3,354.47
a,a,354.469999,354.53999899999997
bunch,bunch,354.54,354.77000000000004
of,of,354.77,355.03999999999996
his,his,355.099999,355.349999
posse,posse,355.549999,356.169999
The,the,360.129999,360.319999
other,other,360.32,360.54
kid,kid,360.54,360.69
is,is,360.690001,360.770001
alone,alone,360.77,361.2
and,and,361.23,361.64000000000004
um,um,361.67,362.2
the,the,363.46,363.62
other,other,363.62,363.86
kid,kid,363.86,364.06
has,has,364.06,364.3
this,this,364.32,364.51
massive,massive,365.02,365.78
target,target,365.9,366.45
like,like,367.1,367.34000000000003
this,this,367.53000000000003,367.63000000000005
big,big,367.68,367.90000000000003
wooden,wooden,367.90000000000003,368.14000000000004
thing,thing,368.14000000000004,368.43
and,and,368.95,369.13
the,the,369.13,369.26
blond,blond,369.27,369.5
guy,guy,369.52,369.71999999999997
is,is,369.719999,369.91999899999996
like,like,369.94,370.07
aggressively,aggressively,370.09,370.71
throwing,throwing,370.71,371.25
weapons,weapons,371.71,372.21999999999997
at,at,372.219999,372.449999
him,him,372.45,372.47999999999996
and,and,372.78,373.15999999999997
um,um,373.179999,373.659999
calling,calling,374.049999,374.319999
it,it,374.32,374.44
target,target,374.44,374.75
practice,practice,374.75,375.02
and,and,375.02,375.04999999999995
just,just,375.179999,375.409999
generally,generally,375.41,375.94
being,being,376.21999900000003,376.499999
aggressive,aggressive,376.85,377.33000000000004
about,about,377.33,377.59
that,that,377.59,377.75
all,all,377.75,377.93
And,and,377.93,378.06
then,then,378.059999,378.27999900000003
so,so,378.31,378.66
the,the,379.14,379.53999999999996
small,small,379.55,379.8
guy,guy,379.8,379.99
eventually,eventually,379.99,380.43
falls,falls,380.43,380.79
down,down,380.79,381.19
because,,,
he,,,
gets,gets,381.56,381.81
exhausted,exhausted,381.87,382.42
Um,um,382.92,383.42
and,and,383.51,383.67
Merlin,merlin,384.13,384.49
is,is,384.49,384.62
there,there,384.62,385.01
and,and,385.02,385.46999999999997
uh,uh,386.91,387.40000000000003
he,he,387.75,387.96
tells,tells,387.96,388.26
at,at,388.3,388.44
first,first,388.44,388.63
he’s,he's,388.63,388.77
nice,nice,388.78,388.98999999999995
about,about,388.99,389.03000000000003
it,,,
and,and,389.2,389.33
tells,tells,389.33,389.76
the,the,389.8,390.39
blond,blond,390.44,390.73
guy,guy,390.73,391.02000000000004
and,and,391.03,391.05999999999995
his,his,391.059999,391.369999
crew,crew,391.37,391.69
like,like,391.69,391.91
okay,okay,392.009999,392.279999
that’s,that's,392.28,392.44
enough,enough,392.44,392.85
So,so,393.2,393.32
then,then,393.32,393.59
um,um,393.77,394.25
the,the,394.26,394.4
blond,blond,394.4,394.62
guy,guy,394.619999,395.02999900000003
eh,eh,395.559999,395.879999
doesn’t,doesn't,395.91,396.13000000000005
like,like,396.129999,396.239999
to,to,396.24,396.35
hear,hear,396.35,396.54
that,that,396.54,396.77000000000004
and,and,396.79,397.25
um,um,397.65,398.15999999999997
they,they,398.35,398.53000000000003
get,get,398.53,398.71
into,into,398.71,399.01
like,like,399.01,399.32
some,some,400.15,400.39
something,something,400.63,401.0
of,of,401.0,401.15
a,a,401.28,401.35999999999996
verbal,verbal,401.36,401.8
argument,argument,401.8,402.38
Um,um,402.43,402.88
Merlin,merlin,404.25,404.62
calls,calls,404.62,404.88
him,him,404.88,405.04
